Year,Week,Ranking,TV,movie_zh_name,category,director,imdb_score
2021,8,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,8,5,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,9,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,9,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,9,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,9,5,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,9,7,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,10,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,10,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,10,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,10,5,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,11,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,11,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,11,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,11,5,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,11,7,Love Alarm,喜歡的話請響鈴,"網路漫改, 浪漫, 青少年",Yoo Bo-ra,6.8
2021,12,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,12,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,12,10,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,12,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,12,6,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,13,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
