Year,Week,Ranking,TV,movie_zh_name,category,director,imdb_score
2021,41,9,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Jeong-eun,8.2
2021,41,9,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Mi Ran,8.2
2021,42,1,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
2021,42,2,My Name,以吾之名,"犯罪, 驚悚, 冒險動作",Kim Jin-min,7.8
2021,42,3,Squid Game,魷魚遊戲,驚悚,Hwang Dong-hyuk,8
2021,42,7,The King's Affection,戀慕,"浪漫, 漫畫改編, 時代經典",Han Hee-jung,7.9
2021,42,8,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,42,8,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,42,9,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Jeong-eun,8.2
2021,42,9,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Mi Ran,8.2
2021,43,1,My Name,以吾之名,"犯罪, 驚悚, 冒險動作",Kim Jin-min,7.8
2021,43,2,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
2021,43,5,Squid Game,魷魚遊戲,驚悚,Hwang Dong-hyuk,8
2021,43,6,The King's Affection,戀慕,"浪漫, 漫畫改編, 時代經典",Han Hee-jung,7.9
2021,43,9,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,43,9,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,44,1,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
2021,44,10,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,44,10,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,44,2,My Name,以吾之名,"犯罪, 驚悚, 冒險動作",Kim Jin-min,7.8
2021,44,5,The King's Affection,戀慕,"浪漫, 漫畫改編, 時代經典",Han Hee-jung,7.9
2021,44,6,Inspector Koo,神探具景伊,"犯罪, 驚悚, 喜劇",NA,6.9
2021,44,7,Squid Game,魷魚遊戲,驚悚,Hwang Dong-hyuk,8
2021,44,9,My ID is Gangnam Beauty,我的ID是江南美人,"網路漫改, 浪漫",NA,7.4
2021,45,1,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
