content
大家還記得這部嗎說好的第二季在哪httpsiimgurcomALznBEpjpg
很好奇這位到底是做了什麼才會被市長殺掉我看完以後都沒印象劇情有提到
最近才追完驅魔麵館的我除了覺得倒數幾集劇情的嘈點真的越來越多外還發現了一個鏡頭失誤在最後一集的322左右申明輝的替身被拍到了httpsiimgurcomrtSPy0Bjpg不知道有沒有人也有發現哈哈哈哈嗯對就這樣是不是有點無聊‿
前面是好看啦啊可是後面不知道在幹麻建議處理完霸凌事件之後就可以棄了目前在追startup目前為止沒冷場過超讚httpsiimgurcomWXBtnK9jpg
我覺得驅魔麵館打擊壞人和解決校園霸凌的地方看得好爽啊
驅魔麵館雖然最後換編劇很多人都說這部是爛尾但我自己看完以後覺得沒有到非常爛頂多原本是必要條件的結界後來又變的可有可無這點算是我唯一不能接受的其他都算還不錯所以還是推啦而且是大推httpsiimgurcom5EW8zD2jpg
前面好看就不用說了中後段不知道是因為編劇換了還怎樣整個大烙賽最後一集的最終BOSS戰竟然給我在那邊玩丟石頭洗勒哈囉丟石頭就算了特效還做的有夠兩光五毛一點魄力都沒有BOSS打成這樣一點都沒快感氣死了中後段如果沒有哈娜這部就真的烙賽收尾了哈娜拯救了麵館httpsiimgurcomXrjivALjpg
剛剛在家看媽媽好神有一位蕭醫師然後一直有一種很不爽的感覺原來是這位蕭醫師撞臉白香熙httpsiimgurcomYXmkRo7jpg只有我這麼認為嗎我們來比比看這是白香熙httpsiimgurcom25aK72ojpg這是蕭醫師httpsiimgurcomgioP9mOjpg這是白香熙httpsiimgurcomRuOkOigjpg這是賈模度httpsiimgurcom7dyS72wjpg這是羅時豐httpsiimgurcom5HVeyNJjpg總結台劇驅魔麵館真的很好看
想問關於驅魔麵館最後一集那個四個小毛頭惡鬼他們身上穿的外套看起來好像還不錯穿可惜牌子被遮住了不知道是哪個牌子的httpsiimgurcom0IYvW9Mjpg想問板上大大有人知道是什麼牌子的嗎
第一次發文就獻給世正了哈娜開場出來直接被眼神魅惑住httpsiimgurcomlxa3GKvjpg原本想說無聊追劇結果直接被圈粉世正真的太正了被圈粉後慢慢去了解發現不只有顏值而已根本十全十美不愧是god世正請繼續走花路
有人看了驅魔麵館跟我一樣被世正圈粉的嗎會唱歌又會演戲的愛豆httpsiimgurcomJ1FNXJmjpg
近期netflix排行榜第一名的夯劇驅魔麵館其中有提到校園罷凌的橋段讓我想起從小到大不堪回首的回憶做了一個跟罷凌相關的影片試著尋找解決校園霸凌的方法以及戲劇跟現實生活不同的地方httpsyoutubeZip2TDwUyk大家在學校有被罷凌的經驗嗎
剛看完最後一集覺得打鬥部分會有點小出戲之外整體而言個人覺得還是很好看耶雖然後面幾集的劇情會讓人看到翻白眼尤其小孩跑出來的部分_原本還默默期待會不會有蘇炆跟哈娜的感情戲結果沒有聽說9月會開拍第二季已經開始期待了因為這部被趙炳圭圈粉捲髮好適合他
誰可以解釋為什麼都已經23號晚上了15集還沒上線ຶДຶ等的我好苦啊httpsiimgurcombr6muLijpg
前一陣子在推薦清單中看到驅魔麵館因為名字不是很吸引我所以就先跳過了但偶然在IG上看到朋友推薦想說也放寒假了就追追看沒想到一發不可收拾三天就追完進度了要等到124第一季結束真的好苦啊以上是題外話啦因為真的好好看重點是這裡除了很好聽的主題曲之外世正女神啊啊啊我完全找不到片頭還有片中那熱血沸騰的節奏音樂有沒有人能幫我解答一聽到那節奏心臟就會狂跳真的很熱血啊好想知道
看完驅魔面館第十三集後請問那小孩衝出來是在銃三小所以我才那麼討厭小孩尤其是公的感謝這編劇更進一步提升了小孩的負面形象尤其是低能無腦耍智障方面感謝此編劇大大提升了我對小公屁孩的仇恨值這編劇跟最後生還者2的編劇一樣腦袋不知道裝些什麼好好一個作品就這樣毀了微更14集開頭雷拜託你女惡鬼抓拿小鬼當人質沒關係趕快給我把那低能小鬼殺來吃
分享一下現在到13集驅魔麵館的心得防雷先說好的從第九集以前都很好看武打的戲都很自然也很帥特效也很真實看了一點都不會尷尬劇情也都很吸引人也很新穎但我個人覺得第九集開始就有點走鐘首先是驅魔人們一起去破壞市長直播現場這段我自己覺得超莫名除了惡整市長好像沒任何意義也沒做成任何事單純只是為了爽做的因為做這個違反一堆驅魔人條約很瞎接著就是也很讓人煩躁的融人審理大會融人又廢又只會出嘴的樣子我就不多說了但現在問題是出現很強的惡鬼融人都沒有在意的樣子看起來超莫名接著就是阿臣要殺驅魔人的片段他最後放一把火就走我自己覺得小不合理啦因為直接殺了他們不是還能吸靈魂惡鬼會這樣就走後來蘇炆又變回驅魔人融人一副開心慶祝的樣子我也是滿頭問號當初不就是你們剝奪的那你們開心什麼接下來幾集也都挺荒唐正英被局長殺英林被市長殺的影片也演出來我心裡只想為啥大咖的都要親自動手不是有盧昌奎嗎超不合理然後局長一下就被抓了也問號接著融人的白色神奇木棍看了我很尷尬最後好不容易要打贏阿臣小孩出來亂看得出來後面劇情越來越昌促真的越看越失望QQ希望剩下的3集可以收的好一點最後偷偷安麗runon好好看啊哈哈哈哈
大叔回復記憶以後最後的結局果真像我猜的一樣如此虐心不能接受金正英就這樣領便當了
日常問自己為什麼要追ON檔劇嗚嗚嗚看第九集整個很想哭欸看到最後面很想跟蘇炆一樣大喊왜為什麼而且看到預告整個很心疼QAQ
最近也開始追驅魔麵館原以為驅魔題材很普通但沒想到出奇的好看男主角有點像是年輕版的小金秀賢在這首CloseYourEyes彷彿在描述主角重生後踏上驅魔助人的旅程整理中文歌詞給各位另外也分享厭世女主角世正演唱的中文歌曲片段為了怕劇透太多就不多說劇情了影片有些片段是片中場景請小心服用httpswonderfopseis39jn47PS市長兒子真調皮httpsiimgurcom7CGcZhcjpg
如題找很久都沒找到有哪些地方可以看嗎
有誰也有看嗎‍️‍️httpsiimgurcomVvt2Yccjpg1128起每週六日2230Netflix上線有些地方翻譯是驚奇的傳聞不得不說一開始完全是為了世正看的跟家人一起看了第一集中間有一段打鬥較冗長外到現在第四集我們都覺得很好看劇情大概就是4個惡鬼獵人組織偽裝成姐姐的麵館的店員要抓回從死後世界來到地球追求永生的惡鬼httpsiimgurcom6qner29jpg演員很多熟面孔但我看過的沒太多就不特別說其他演員有誰了主演是趙炳圭金世正劉俊相廉惠蘭真的好看是漫畫改編的所以劇情已定XD沒看過漫畫但希望後面不會歪掉啦是看完新創時代很氣可以接看的一部劇個人見解
大家Netflix有第4集了嗎好想看嗚嗚嗚補字補字補字補字補字
