TV,backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count
The Gentlemen's League 2,/mMMO71UGVJeqijHFjJiwiHW902X.jpg,2019-06-13,10764,90534,The Gentlemen's League,KR,ko,뭉쳐야 찬다,"These former sports superstars were record-breaking Olympians; but on the soccer field, they’re all just middle-aged dads trying to do their best.",15.134,/bo4f0ZkyEmqItgvxo1WCz9jUD8b.jpg,8,1
I Am Solo,NA,2021-07-14,list(),129236,I Am Solo,KR,ko,나는 SOLO,,1.533,/rHJofki22Vdl4k6QnzRVwSVaYv9.jpg,0,0
Lost in Space,/nB8Z2lDOOSpZgTRLUVYSJ74RPof.jpg,2018-04-13,"c(10765, 10759, 18)",75758,Lost in Space,US,en,Lost in Space,"After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.",51.981,/y8NJnTXzb4rio9uvVYFVrXEMofU.jpg,7.7,1150
Just Between Lovers,/yaUxwQ2Axi65gxxzBY0j1WlLBRP.jpg,2017-12-11,18,74829,Just Between Lovers,KR,ko,그냥 사랑하는 사이,Two survivors of a building collapse discover support and love in each other as they overcome the pain of loss and reconstruct a hopeful future.,30.08,/kZyBy282x8S8TRtC2MZev4SXl83.jpg,8.4,25
The Hungry and the Hairy,/2xHoTGz7eiSRrXumTnuVvIjq9EZ.jpg,2021-12-11,10764,134958,The Hungry and the Hairy,KR,ko,먹보와 털보,"On the motorbike road trip of their dreams, buddies Rain and Ro Hong-chul relax and unwind as they delight in tasty eats and scenic locales around Korea.",3.463,/rwIcENIPYinLyDnmw3L5jX7RQDv.jpg,8,2
Single’s Inferno,/jRTRcd4TuDRbzsJWwXjt0DRLWbR.jpg,2021-12-18,10764,139798,Single’s Inferno,KR,ko,솔로지옥,"On a deserted island, flirtatious singles look for love, because only as a couple can they leave the island for a romantic date in paradise.",6.686,/86zkkFCrNc4VeqvCANTmpGNgFEF.jpg,8.5,11
Itaewon Class,/8ruYtKJf0uHnwsLr8r83rs3h0CP.jpg,2020-01-31,18,96162,Itaewon Class,KR,ko,이태원 클라쓰,"In a colorful Seoul neighborhood, an ex-con and his friends fight a mighty foe to make their ambitious dreams for their street bar a reality.",29.346,/uW91bKQhdkwPLAE2lJJkY5xdyJg.jpg,8.6,193
The Fisherman and the City,NA,2017-09-07,NULL,NA,NA,KR,ko,NA,NA,NA,NA,NA,NA
All of Us are Dead,/8Xs20y8gFR0W9u8Yy9NKdpZtSu7.jpg,2022-01-28,"c(10759, 18, 10765)",99966,All of Us Are Dead,KR,ko,지금 우리 학교는,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,605.101,/pTEFqAjLd5YTsMD6NSUxV6Dq7A6.jpg,8.5,2136
Prison Playbook,/4QndLm5U0sglG78XCvIO3eqjfRR.jpg,2017-11-22,"c(35, 18)",74821,Prison Playbook,KR,ko,슬기로운 감빵생활,"With his major league baseball debut right around the corner, a star pitcher lands in prison and must learn to navigate his new world.",9.575,/vlPZbMxbEAxQG67TOAYFMYwMBjo.jpg,8.7,39
The One and Only,/eimVreoP1T2li87LcOVLMoHSEA2.jpg,2021-12-20,18,127008,The One and Only,KR,ko,한 사람만,A contract killer gets entangled with a murder case and three terminally ill women who have each decided to end the life of one person before they die.,5.147,/uT4qYVvilfiG8WCRjmkIKIzPbA7.jpg,8.5,4
Artificial City,/t8M3mfkfvSjwmYO8QwJRgHYoeWQ.jpg,2021-12-08,"c(18, 9648)",138947,Artificial City,KR,ko,공작도시,"A mystery psychological thriller drama that depicts characters with various desires and different psychology, and their tangled relationships against the backdrop of a society that conceals their dark sides and is maintained through someone's sacrifice.",5.87,/wB5r70L0gf2XiTD8r5vy0YDtW7o.jpg,8.5,2
Vikings: Valhalla,/k47JEUTQsSMN532HRg6RCzZKBdB.jpg,2022-02-25,"c(10759, 18, 10768)",116135,Vikings: Valhalla,US,en,Vikings: Valhalla,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history.",328.246,/izIMqapegdEZj0YVDyFATPR8adh.jpg,8,211
Teenage Parents,NA,2022-03-06,list(),194491,Teenage Parents,KR,ko,어른들은 모르는 고딩엄빠,"At a young age, they stumbled into the parenting world. On top of their day-to-day tasks, they tackle obstacles and the stigma of being teenage parents.",1.933,/7mcLqmQ1nirbdtnH7GtDDlVvvpu.jpg,0,0
Green Mothers' Club,/9kEXDrGzoIjtRPICCQIZ1Mss4SF.jpg,2022-04-06,"c(18, 9648)",195747,Green Mothers' Club,KR,ko,그린마더스클럽,"Five moms in a competitive grade school community keep their enemies close, and one another closer, as envy and secrets tangle and unravel their lives.",7.464,/i67uBlKzy94FqzNJ8bai2IGJ6S.jpg,6,4
The Sound of Magic,/tX5W2a0B9r4cs25G78tKjNv76Gj.jpg,2022-05-06,"c(18, 10765)",123349,The Sound of Magic,KR,ko,안나라수마나라,An enigmatic magician living in an abandoned amusement park introduces magic into the life of a high schooler struggling with harsh realities.,409.433,/muaqMAPiEEYILOdDv72PC8sZ7HQ.jpg,7.4,28
Goo Pil-soo Is Not There,/A7ODGhzz20NXVpSM0P4K45niMBs.jpg,2022-05-04,"c(35, 18)",197064,Goo Pil-soo Is Not There,KR,ko,구필수는 없다,"Depicts the bromance of Goo Pil-soo, a breadwinner in his 40s who dreams for his second heyday, and Jung Seok, a genius in his 20s who dreams of his own start-up company. The drama will realistically portray relatable stories, including the recent social and education problems and the employment and start-up wars. At the same time, it will draw a harmony between different generations and create a warm comedy drama that everyone can sympathize with and watch comfortably.",12.324,/eZYghYpJ4rDahk7tGtoqzz9jYoe.jpg,5,1
Stranger Things,/56v2KjBlU4XaOv9rVYEQypROD7P.jpg,2016-07-15,"c(10765, 18, 9648)",66732,Stranger Things,US,en,Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",5220.418,/49WJfeN0moxb9IPfGn8AIqMGskD.jpg,8.6,10496
