Year,Week,Ranking,TV,movie_zh_name,first_air_date,category,origin_country,original_language
2021,13,3,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,,JP,ja
2021,13,4,Attack on Titan,進擊的巨人,2013/4/7,,JP,ja
2021,13,5,Navillera,如蝶翩翩,2021/3/22,"網路漫改, 浪漫",KR,ko
2021,13,6,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,13,7,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,13,8,The Irregulars,貝克街游擊隊,2021/3/26,,GB,en
2021,13,9,"Hello, Me!",哈囉，我好嗎？,2021-02-17,"浪漫, 喜劇, 書籍改編",KR,ko
2021,13,10,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,14,1,Vincenzo,黑道律師文森佐,2021/2/20,社會議題,KR,ko
2021,14,2,Sisyphus: The Myth,薛西弗斯的神話,2021-02-17,"科幻, 驚悚",KR,ko
2021,14,3,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,14,4,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,14,5,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,,JP,ja
2021,14,6,Navillera,如蝶翩翩,2021/3/22,"網路漫改, 浪漫",KR,ko
2021,14,7,"Hello, Me!",哈囉，我好嗎？,2021-02-17,"浪漫, 喜劇, 書籍改編",KR,ko
2021,14,8,My Mister,我的大叔,2018-03-21,"家庭, 社會議題",KR,ko
2021,14,9,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,14,10,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,15,1,Vincenzo,黑道律師文森佐,2021/2/20,社會議題,KR,ko
2021,15,2,Beyond Evil,怪物,2021-02-19,"犯罪, 驚悚",KR,ko
2021,15,3,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,15,4,Sisyphus: The Myth,薛西弗斯的神話,2021-02-17,"科幻, 驚悚",KR,ko
2021,15,5,Sisyphus: The Myth,薛西弗斯的神話,2021-02-17,"科幻, 驚悚",KR,ko
2021,15,6,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,15,7,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,,JP,ja
2021,15,8,Navillera,如蝶翩翩,2021/3/22,"網路漫改, 浪漫",KR,ko
2021,15,9,Law School,LAW SCHOOL,2021/4/14,"懸疑, 犯罪, 法庭",KR,ko
2021,15,10,My Mister,我的大叔,2018-03-21,"家庭, 社會議題",KR,ko
2021,15,11,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,16,1,Beyond Evil,怪物,2021-02-19,"犯罪, 驚悚",KR,ko
2021,16,2,Vincenzo,黑道律師文森佐,2021/2/20,社會議題,KR,ko
2021,16,3,Law School,LAW SCHOOL,2021/4/14,"懸疑, 犯罪, 法庭",KR,ko
2021,16,4,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,16,5,Navillera,如蝶翩翩,2021/3/22,"網路漫改, 浪漫",KR,ko
2021,16,6,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,16,7,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,,JP,ja
2021,16,8,Sisyphus: The Myth,薛西弗斯的神話,2021-02-17,"科幻, 驚悚",KR,ko
2021,16,9,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,16,10,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,17,1,Vincenzo,黑道律師文森佐,2021/2/20,社會議題,KR,ko
2021,17,2,Beyond Evil,怪物,2021-02-19,"犯罪, 驚悚",KR,ko
2021,17,3,Law School,LAW SCHOOL,2021/4/14,"懸疑, 犯罪, 法庭",KR,ko
2021,17,4,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,17,5,Shadow and Bone,太陽召喚,2021/4/23,,US,en
2021,17,6,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,17,7,Navillera,如蝶翩翩,2021/3/22,"網路漫改, 浪漫",KR,ko
2021,17,8,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,,JP,ja
2021,17,9,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,17,10,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,18,1,Vincenzo,黑道律師文森佐,2021/2/20,社會議題,KR,ko
